airport_code,eet_to_vvts_minutes,eet_from_vvts_minutes,taxi_in_minutes,taxi_out_minutes
VVDN,70,76,12,18
VVPB,57,60,13,10
VVKR,75,68,11,20
VVCT,43,43,12,8
VVCS,38,43,10,13
VVDL,57,58,15,14
VVGL,65,70,17,16
VVNB,113,113,18,23
VVBM,67,69,17,19
VVTH,90,92,20,13
VVCI,83,88,13,15
VVPC,82,80,10,10
VVPK,76,80,12,19
VVCA,55,47,10,10
VVTS,1,1,15,15
WSSS,124,124,22,22
VTBS,88,80,24,23
WMKK,125,123,20,24
RPLL,147,165,19,19
VVPF,76,62,11,18
VLPL,105,92,19,17
VHHH,158,166,26,23
RCTP,217,206,22,21
ZGGG,165,165,21,25
ZSPD,245,233,30,20
VMMC,61,53,10,11
VIDP,355,320,35,26
OMDB,414,442,35,37
EGLL,770,724,44,44
KJFK,951,907,50,50
