callsign,origin,destination,eobt,flight_date,aircraft_type
ANA7539,VVPF,VVTS,00:46,2025-06-23,A380
BAW4266,VTBS,VVTS,00:41,2025-06-23,A330
AIC8667,RKSI,VVTS,00:38,2025-06-23,A321
PIC4524,VVTS,VVPC,00:35,2025-06-23,A380
THD9576,VVPK,VVTS,00:58,2025-06-23,A380
PIC8109,VVDL,VVTS,00:54,2025-06-23,A320
DAL3626,VVDL,VVTS,00:07,2025-06-23,A330
HVN3280,VLPL,VVTS,00:41,2025-06-23,A350
DAL6537,ZSPD,VVTS,00:49,2025-06-23,A320
THD6680,VVCS,VVTS,00:21,2025-06-23,B777
KAL361,VVTS,VHHH,00:04,2025-06-23,B787
PIC6180,VVTS,VIDP,00:25,2025-06-23,B737
KAL6001,VVTS,VVDN,00:01,2025-06-23,A320
KAL3991,VVTS,VVTH,00:19,2025-06-23,B737
BAW2034,VIDP,VVTS,00:54,2025-06-23,A350
AIC3620,VVTS,VVDL,00:06,2025-06-23,B777
HVN1616,VIDP,VVTS,00:54,2025-06-23,B777
KAL5517,VVNB,VVTS,00:11,2025-06-23,A380
KAL6473,VVTS,WMKK,00:44,2025-06-23,A321
ANA4981,VVKR,VVTS,00:02,2025-06-23,B737
VJC2985,VVGL,VVTS,00:32,2025-06-23,A321
BAW2981,VVPC,VVTS,00:09,2025-06-23,A380
BAW9531,VVTS,VVCT,00:57,2025-06-23,A320
DAL7276,VVTS,OMDB,00:26,2025-06-23,A321
THA3482,RCTP,VVTS,00:52,2025-06-23,B787
UAE7115,VMMC,VVTS,00:49,2025-06-23,A320
BAV2482,RKSI,VVTS,01:52,2025-06-23,A350
SCO3187,VVTS,VVNB,01:30,2025-06-23,A320
BAV9158,VVBM,VVTS,01:54,2025-06-23,B787
UAE2598,VVKR,VVTS,01:00,2025-06-23,A320
THD7125,VVTS,VVCI,01:08,2025-06-23,B737
CPA4218,VVTS,VVPC,01:13,2025-06-23,A350
THA7574,VVCA,VVTS,01:58,2025-06-23,B737
VJC3003,VVCA,VVTS,01:39,2025-06-23,A330
SCO717,VVCT,VVTS,01:52,2025-06-23,A321
PIC346,VVTS,VMMC,01:15,2025-06-23,B777
CES9763,VVTS,VVDL,01:19,2025-06-23,B737
PAL1577,VVTS,VLPL,01:30,2025-06-23,B787
BAV4578,VIDP,VVTS,01:31,2025-06-23,A380
HVN643,VVTS,VVKR,01:50,2025-06-23,B737
BAV6103,VVTS,VVPC,01:40,2025-06-23,A350
CES4852,VVTS,ZSPD,01:10,2025-06-23,A320
DAL1340,RJAA,VVTS,01:59,2025-06-23,A320
BAW8115,VVDL,VVTS,02:41,2025-06-23,A330
BAW3619,VVTS,VVKR,02:50,2025-06-23,A380
BAV3102,VVTS,WSSS,02:09,2025-06-23,A321
AIC7321,RKSI,VVTS,02:43,2025-06-23,A330
THA3279,VVTS,VVDL,02:19,2025-06-23,A350
DAL9120,VIDP,VVTS,02:42,2025-06-23,B737
PIC4070,VVPC,VVTS,02:11,2025-06-23,A380
PAL8378,VTBS,VVTS,02:59,2025-06-23,A320
VJC8434,VVTS,RJAA,02:38,2025-06-23,B787
THA7295,VVDL,VVTS,02:16,2025-06-23,A321
THD5781,VVGL,VVTS,02:53,2025-06-23,A320
